pair_id,layer,spanish_density,english_density,spanish_clustering,english_clustering,spanish_hierarchy,english_hierarchy,density_diff,clustering_diff,hierarchy_diff
0,0,0.2312518610543103,0.2816650685586864,0.23628691983122363,0.2857142857142857,0.12777777777777777,0.05499999999999994,-0.050413207504376084,-0.04942736588306207,0.07277777777777783
0,1,0.147744244562476,0.18026564387755928,0.03515625,0.11363636363636363,0.3652173913043477,0.296875,-0.03252139931508327,-0.07848011363636363,0.06834239130434772
0,2,0.13810875035187975,0.2027988493622542,0.05714285714285714,0.1388888888888889,0.33255813953488356,0.18055555555555558,-0.06469009901037445,-0.08174603174603176,0.15200258397932798
0,3,0.14132058175541184,0.18589894524873302,0.03982300884955752,0.05,0.3318181818181818,0.29166666666666674,-0.04457836349332117,-0.010176991150442481,0.04015151515151505
0,4,0.1541679073695402,0.23659865758929655,0.07142857142857142,0.21,0.3125,0.16666666666666674,-0.08243075021975635,-0.13857142857142857,0.14583333333333326
0,5,0.21840453544018193,0.30983157541455497,0.2040358744394619,0.3271604938271605,0.17941176470588216,0.015909090909090873,-0.09142703997437304,-0.12312461938769861,0.1635026737967913
0,6,0.18628622140486106,0.247865260331644,0.10451977401129943,0.18303571428571427,0.2655172413793103,0.17045454545454541,-0.06157903892678293,-0.07851594027441484,0.0950626959247649
0,7,0.2312518610543103,0.2929316713010338,0.20229007633587787,0.29931972789115646,0.18055555555555536,0.0625,-0.061679810246723504,-0.0970296515552786,0.11805555555555536
0,8,0.21198087263311774,0.27603176718751266,0.14583333333333334,0.26515151515151514,0.2484848484848483,0.09948979591836737,-0.06405089455439492,-0.1193181818181818,0.14899505256648093
0,9,0.20234537842252148,0.247865260331644,0.14251207729468598,0.18468468468468469,0.24285714285714266,0.1647727272727273,-0.04551988190912251,-0.0421726073899987,0.07808441558441537
0,10,0.1798625585977969,0.2253320548469491,0.12037037037037036,0.13440860215053763,0.2571428571428571,0.1937500000000001,-0.0454694962491522,-0.014038231780167262,0.06339285714285703
0,11,0.13489691894834765,0.19153224661990673,0.1,0.07317073170731707,0.34285714285714275,0.33823529411764697,-0.05663532767155907,0.026829268292682937,0.004621848739495782
1,0,0.2104751317185798,0.2816650685586864,0.19965870307167236,0.2835820895522388,0.14457831325301207,0.07000000000000006,-0.0711899368401066,-0.08392338648056644,0.07457831325301201
1,1,0.10904133329998712,0.15773243839286438,0.004032258064516129,0.0660377358490566,0.4608879492600424,0.3392857142857142,-0.04869110509287726,-0.06200547778454048,0.1216022349743282
1,2,0.12172055810231121,0.19716554799108046,0.05371900826446281,0.11971830985915492,0.33712121212121215,0.21785714285714275,-0.07544498988876926,-0.06599930159469211,0.1192640692640694
1,3,0.11157717826045195,0.15773243839286438,0.012295081967213115,0.037037037037037035,0.3925619834710745,0.3303571428571428,-0.04615526013241243,-0.02474195506982392,0.06220484061393172
1,4,0.12425640306277602,0.21406545210460165,0.06439393939393939,0.18181818181818182,0.34879406307977745,0.23684210526315796,-0.08980904904182563,-0.11742424242424243,0.11195195781661949
1,5,0.15722238754881862,0.27603176718751266,0.11621621621621622,0.2878787878787879,0.26392961876832843,0.09948979591836737,-0.11880937963869403,-0.17166257166257168,0.16443982284996106
1,6,0.152150697627889,0.24223195896047028,0.1329479768786127,0.2102803738317757,0.26969696969696977,0.17732558139534893,-0.09008126133258129,-0.07733239695316299,0.09237138830162084
1,7,0.19272421699532608,0.25349856170281776,0.1625,0.18110236220472442,0.24880382775119636,0.18611111111111112,-0.060774344707491684,-0.018602362204724415,0.06269271664008524
1,8,0.15468654258835382,0.24223195896047028,0.0703883495145631,0.16666666666666666,0.33979135618479894,0.21802325581395343,-0.08754541637211646,-0.09627831715210355,0.12176810037084551
1,9,0.1648299224302131,0.23659865758929655,0.1187214611872146,0.19090909090909092,0.2853146853146853,0.2142857142857142,-0.07176873515908344,-0.07218762972187631,0.0710289710289711
1,10,0.14200731778602974,0.23659865758929655,0.07848837209302326,0.15454545454545454,0.34090909090909105,0.22023809523809534,-0.09459133980326681,-0.07605708245243128,0.1206709956709957
1,11,0.13186393794417048,0.21406545210460165,0.05027932960893855,0.1875,0.45804195804195813,0.2763157894736843,-0.08220151416043117,-0.13722067039106145,0.18172616856827384
2,0,0.21840453544018193,0.25922027404398384,0.20276497695852536,0.27540106951871657,0.1617647058823528,0.07885304659498193,-0.040815738603801915,-0.07263609256019121,0.08291165928737088
2,1,0.14453241315894394,0.15887694215599008,0.08108108108108109,0.08620689655172414,0.30888888888888877,0.3157894736842104,-0.014344528997046135,-0.005125815470643058,-0.006900584795321629
2,2,0.15737973877307226,0.19650569161398773,0.08536585365853659,0.14601769911504425,0.2673469387755101,0.18912529550827428,-0.03912595284091547,-0.06065184545650766,0.0782216432672358
2,3,0.1284732561412835,0.1630579143179898,0.031914893617021274,0.06741573033707865,0.31999999999999984,0.2962962962962963,-0.03458465817670631,-0.035500836720057376,0.02370370370370356
2,4,0.1316850875448156,0.1714198586419893,0.05714285714285714,0.10396039603960396,0.3829268292682926,0.3089430894308942,-0.039734771097173716,-0.046817538896746815,0.07398373983739837
2,5,0.21198087263311774,0.24249638539598486,0.22572815533980584,0.2411764705882353,0.17575757575757578,0.13793103448275867,-0.030515512762867125,-0.015448315248429462,0.037826541274817105
2,6,0.16380340158013645,0.18814374728998826,0.12142857142857143,0.18018018018018017,0.2921568627450979,0.24197530864197536,-0.0243403457098518,-0.058751608751608744,0.05018155410312253
