pair_id,es_tokens,en_tokens,es_subword_ratio,en_subword_ratio,layer_0_density_diff,layer_0_clustering_diff,layer_0_hierarchy_diff,layer_0_efficiency_diff,layer_0_sparsity_diff,layer_1_density_diff,layer_1_clustering_diff,layer_1_hierarchy_diff,layer_1_efficiency_diff,layer_1_sparsity_diff,layer_2_density_diff,layer_2_clustering_diff,layer_2_hierarchy_diff,layer_2_efficiency_diff,layer_2_sparsity_diff,layer_3_density_diff,layer_3_clustering_diff,layer_3_hierarchy_diff,layer_3_efficiency_diff,layer_3_sparsity_diff,layer_4_density_diff,layer_4_clustering_diff,layer_4_hierarchy_diff,layer_4_efficiency_diff,layer_4_sparsity_diff,layer_5_density_diff,layer_5_clustering_diff,layer_5_hierarchy_diff,layer_5_efficiency_diff,layer_5_sparsity_diff,layer_6_density_diff,layer_6_clustering_diff,layer_6_hierarchy_diff,layer_6_efficiency_diff,layer_6_sparsity_diff,layer_7_density_diff,layer_7_clustering_diff,layer_7_hierarchy_diff,layer_7_efficiency_diff,layer_7_sparsity_diff,layer_8_density_diff,layer_8_clustering_diff,layer_8_hierarchy_diff,layer_8_efficiency_diff,layer_8_sparsity_diff,layer_9_density_diff,layer_9_clustering_diff,layer_9_hierarchy_diff,layer_9_efficiency_diff,layer_9_sparsity_diff,layer_10_density_diff,layer_10_clustering_diff,layer_10_hierarchy_diff,layer_10_efficiency_diff,layer_10_sparsity_diff,layer_11_density_diff,layer_11_clustering_diff,layer_11_hierarchy_diff,layer_11_efficiency_diff,layer_11_sparsity_diff
0,14,11,0.14285714285714285,0.09090909090909091,-0.05002545714397311,-0.05952677459526773,0.10197663971248883,1.9172968673871784,0.05002545714397311,-0.025058662269247155,-0.004197994987468671,0.0615450928381962,3.849101425823516,0.025058662269247245,-0.018942398716291498,-0.0001580278128950688,0.06484374999999987,2.6730983548309393,0.018942398716291553,-0.025413765921275998,-0.0023716648463098762,0.1283850078492934,4.095493584177088,0.025413765921275977,-0.02292804035707406,0.010753481236724097,0.03296703296703285,2.702437275282879,0.022928040357074075,-0.03501040044514758,-0.06201027780604458,0.10203253953253966,1.7974607393525197,0.03501040044514758,-0.023362645477568153,-0.009925933390436847,0.043202457264957195,1.650635658832786,0.023362645477568167,-0.03430019314108987,-0.013098552038151953,0.09535953177257506,1.6690263081989745,0.034300193141089896,-0.034346126838350505,-0.033308385851280375,0.04447090266055764,1.7972059059881387,0.03434612683835059,-0.038114465918885995,-0.03667763157894738,0.042345582743926524,2.1647271675832718,0.03811446591888601,-0.04055425778582736,-0.06859532752603958,0.08630609605786921,2.6181447517827294,0.04055425778582733,-0.04242164344049279,-0.036556180447529014,0.05553534303534313,3.8836273358352447,0.04242164344049271
1,11,7,0.18181818181818182,0.0,-0.1101890174342873,-0.1744599224213596,0.23207371925320652,2.469364072707115,0.11018901743428733,-0.06882977584721552,-0.06824565883554648,0.14338320220673162,4.359411810523403,0.0688297758472155,-0.05454689849147758,-0.03500766871165645,0.043759684110561414,3.2068548250960784,0.05454689849147765,-0.05710052979196999,-0.02954581800735647,0.14335015089732095,3.6806823206020853,0.05710052979197,-0.0855536644952145,-0.07308510638297872,0.07958405375908972,4.919130064426614,0.08555366449521451,-0.11105899786915671,-0.1584116541353383,0.1986803519061584,2.608229651066276,0.11105899786915674,-0.061056261937506934,-0.08503401360544217,0.1503283626571299,2.3684572938293575,0.061056261937506906,-0.10432439440666458,-0.10753880266075388,0.17436257057575455,2.3500024042057337,0.10432439440666463,-0.09108042749814307,-0.1077867280398926,0.1252769863880976,2.6698520173440743,0.09108042749814316,-0.07609649971988283,-0.07688526486236409,0.0904847154847157,2.68357855047464,0.07609649971988275,-0.07458177886660691,-0.0627147766323024,0.07789987789987785,3.619556059874623,0.07458177886660688,-0.07040080670460716,-0.07056878306878307,0.15428392745465924,3.495387245071086,0.07040080670460713
2,12,9,0.25,0.1111111111111111,-0.07998223419240857,-0.14007580233747893,0.19273025824749945,2.3023417662926624,0.07998223419240857,-0.033374624108146456,-0.006311486456134046,0.12012987012987009,3.445939933702327,0.03337462410814651,-0.025767089226752,-0.01736158578263841,0.028221778221778182,2.8463175318486655,0.02576708922675197,-0.02745033258732811,0.007672781816083996,-0.0055309888822241415,3.270535408011943,0.027450332587328097,-0.014494227198108223,-0.008841099163679807,0.014896867838044336,1.8432454496406177,0.014494227198108334,-0.05462378458776038,-0.028202792956891293,0.011770956316411008,1.7666387679647695,0.054623784587760404,-0.054026103735566156,-0.04925731760594146,0.09868072608214162,2.230480272889281,0.054026103735566045,-0.05238678005339273,-0.05409636075019107,0.08757434154630417,1.5335185089701584,0.0523867800533927,-0.06896429291145925,-0.07337376172360541,0.1715652768284348,2.543271019280624,0.06896429291145922,-0.05149025877510133,-0.05961347645679235,0.09920585570380358,2.155335351072031,0.05149025877510127,-0.02781505253102927,0.014792603698150927,-0.0012366623019761658,1.4202249238657298,0.02781505253102934,-0.023574004370787008,-0.006835339726586412,0.03161124589696018,1.4047969663889184,0.02357400437078705
3,14,9,0.21428571428571427,0.0,-0.11256452212488924,-0.16472948274998747,0.30803316180674667,4.134535252467019,0.11256452212488921,-0.06006083212994175,-0.018042177978714442,0.12536266924564798,6.725926325611449,0.060060832129941844,-0.03415489933608051,0.0012765957446808501,0.06212121212121202,3.9662049182320285,0.03415489933608051,-0.04178763059067504,-0.009468662369350667,0.08010659372614581,5.079600641110741,0.04178763059067503,-0.043329294665513995,-0.013609625668449202,0.12147129186602879,5.7093787226696655,0.04332929466551394,-0.09384462288920971,-0.11969377212073248,0.10233746855423465,4.2516476781429375,0.0938446228892097,-0.043675206869126446,-0.047370063992508205,0.052078314414015114,3.0028454623289704,0.043675206869126404,-0.1054540776863077,-0.12922352176738142,0.16291344820756581,3.893228538291675,0.10545407768630777,-0.08718087614704098,-0.0861040005311419,0.14375213821416333,3.3657269920509885,0.08718087614704095,-0.058342793442702254,-0.011000417659631972,0.06701597786981872,3.204396924059986,0.05834279344270221,-0.045739157759978416,-0.004726890756302525,0.04197371853397658,3.5077203645970396,0.04573915775997839,-0.05797168486588972,0.011475044563279857,0.041911764705882204,5.114291331135348,0.05797168486588966
4,13,11,0.07692307692307693,0.0,-0.04156222985127986,-0.08518541230475424,0.16090700658379076,1.5011623641214822,0.041562229851279886,-0.010577146311810476,-0.0042366252998227135,-0.039189482833550615,1.4515405042416578,0.010577146311810504,-0.020883178345731182,-0.005956112852664577,0.008889828120597354,2.7923087190531994,0.020883178345731168,-0.009794923801699287,0.001847071390421933,-0.05699732366399024,1.5681938967605369,0.009794923801699329,-0.015713019903461425,-0.0081510834670947,0.006093906093906032,1.7011650924048727,0.015713019903461523,-0.0357633395949184,-0.07636018056545497,0.06640997119306347,1.893333638521507,0.0357633395949184,-0.024709369901505268,-0.0506370178129055,0.02736628706777955,2.0511578435634714,0.024709369901505296,-0.010185243924989706,-0.012784900284900286,0.009614936658961737,0.5109232325797448,0.010185243924989651,-0.03407968872929534,-0.09995222169135212,0.09837202890466212,1.8238238863505156,0.03407968872929534,-0.026766989596874513,-0.05848730741816986,0.06554417718504402,1.7449650464027888,0.026766989596874513,-0.014318416872802733,-0.001098901098901095,-0.07746873815839339,1.425073062515926,0.014318416872802664,-0.022651750206136065,0.019512195121951216,-0.002279202279202419,2.4754932305831527,0.02265175020613608
5,16,12,0.3125,0.25,-0.06057954867769605,-0.06637261516604301,0.16206853111615027,3.3819438323649385,0.060579548677695993,-0.014026238377637154,0.001877934272300469,-0.017989417989418,2.535195231698202,0.014026238377637057,-0.022224135145803223,-0.009445241511238642,0.01705336222539322,4.218883866741388,0.022224135145803237,-0.0185340771252473,-0.0031645569620253164,0.035668276972624646,4.418516956062213,0.01853407712524735,-0.016334168900839482,-0.00946889547185781,0.06762890341321715,3.0565479696049973,0.016334168900839385,-0.041816272872020555,-0.04331091655035317,0.03790554683411829,3.151559143724133,0.0418162728720205,-0.03302979405722843,-0.030925425841296227,0.054711431356168294,3.369998962401583,0.03302979405722839,-0.04730946639162051,-0.042617144784588515,0.006309175717070348,3.339235231258175,0.04730946639162059,-0.041816272872020555,-0.03030058177117001,0.028093929879644097,3.151559143724133,0.0418162728720205,-0.03263302133186467,-0.04015611843153319,0.06087413868500979,3.045855924004579,0.03263302133186474,-0.028570425862271723,0.010817307692307696,-0.004334643807042626,3.401563703430554,0.028570425862271653,-0.029868766337157515,0.010703624733475477,0.06123321123321124,4.116641155232644,0.029868766337157515
6,13,10,0.23076923076923078,0.1,-0.08281931115160174,-0.13735497888738574,0.25077220077220064,2.58998401633193,0.0828193111516018,-0.03279222931556215,-0.0041059020625635115,0.06491161616161611,4.012907714800768,0.03279222931556214,-0.022555935587254577,-0.01019006811689738,-0.021501057082452535,3.04847369876461,0.02255593558725455,-0.015746772079688318,-0.020491803278688523,0.042641915523271345,2.0445990852213143,0.01574677207968833,-0.03874461026794311,-0.025738916256157637,0.029166666666666785,5.147258002169508,0.03874461026794307,-0.050496066273079385,-0.030286120129870142,0.05951418951418952,2.5713836118501767,0.050496066273079454,-0.029644688247257064,-0.013497314921365564,0.11333333333333329,2.0884178136044804,0.02964468824725708,-0.037590223462444866,-0.037529102135843706,0.10577830188679238,1.5882783926518256,0.037590223462444894,-0.04011547419408454,-0.03763513513513514,0.09259359739555073,1.9306881604156558,0.040115474194084566,-0.03754512652852855,-0.06071448055136295,0.10963276012824252,1.9315621295225274,0.03754512652852848,-0.02145565326461102,4.737989197384218e-05,0.04552631578947364,1.6092131665944525,0.021455653264610963,-0.022979823090378076,-0.010182261768082665,0.022240259740259782,1.8133767523752446,0.02297982309037805
7,16,12,0.3125,0.16666666666666666,-0.06978703549417865,-0.1269391870927707,0.21794135055151997,3.7360024003193173,0.06978703549417864,-0.025673913292443347,-0.006310770381451009,0.05136958164908467,4.585477679717151,0.025673913292443284,-0.025301375843406332,-0.0015770609318996424,0.05829308924827803,5.052560316829078,0.025301375843406304,-0.01699545677644574,-0.004348859315589354,-0.007157327634185862,3.943662903541263,0.01699545677644576,-0.026070686017807113,-0.022399056881815503,0.007886592792253122,5.274691455160573,0.026070686017807154,-0.036827874376578834,-0.03867660764212488,0.09772982671212738,2.8404244550008126,0.03682787437657886,-0.025601207463463144,-0.0400464239749954,0.08673799850270436,2.536831023681442,0.02560120746346317,-0.04280162764401037,-0.02596232895482032,0.07916528086917207,2.5769688297341204,0.0428016276440103,-0.042429090194973304,-0.04296135246944735,0.12826420890937018,2.723342706267559,0.04242909019497332,-0.03698436722802681,-0.004120285590831468,0.07393298059964737,3.4333509680288934,0.03698436722802678,-0.02384654251707255,0.022149830873308733,0.025874400147656074,3.1308574292250455,0.023846542517072522,-0.018617864147715074,0.023636601136437854,-0.07911445279866336,2.8861898513724444,0.018617864147715157
8,15,12,0.2,0.08333333333333333,-0.06403480779718765,-0.09424230702133632,0.1807781142146465,3.3197847729437067,0.06403480779718762,-0.022162117496912853,-0.015584291187739465,0.03979733970090771,4.04299517772629,0.02216211749691288,-0.017061365695842053,-0.005058738291155617,-0.015315803740851175,3.228529436420409,0.017061365695842046,-0.023757709349701735,-0.006177245096350257,0.06464124111182934,4.81340209885998,0.023757709349701672,-0.026905905111604185,-0.0014072614691809735,-0.004253091670483489,4.544040354775806,0.02690590511160429,-0.031709957974378256,-0.03246031746031745,0.04485919871446553,2.2676196903275914,0.031709957974378256,-0.03420870727903465,-0.00021777003484321766,-0.012725344644750836,2.9959163491099057,0.03420870727903469,-0.04930023963130087,-0.04932666920318679,0.03648197246813156,3.3059681482954337,0.049300239631300924,-0.028708003347909086,-0.04818240830899059,0.06454942337295289,1.9487679540046843,0.028708003347909017,-0.029275690585234743,-0.00838317576693036,0.03872289656603378,2.4963679102231904,0.029275690585234715,-0.01244232524474638,-0.028060979128594794,0.05487466172909827,1.6617250881483656,0.01244232524474631,-0.014751845470294206,0.010978835978835984,0.05401930298367752,2.326260700692835,0.014751845470294178
9,13,11,0.15384615384615385,0.2727272727272727,-0.026613498900855043,-0.03334205294548499,0.05812608444187384,1.0925509542362812,0.02661349890085507,-0.010781273151992968,0.003947767992711813,-0.01227106227106245,1.6081030870953743,0.010781273151992954,-0.011563495662104156,-0.003713825239997196,-0.0377301387137452,1.486067524712503,0.01156349566210424,-0.009097622286369927,0.003440874867986236,-0.02130647130647123,1.3836136224815885,0.0090976222863699,-0.017804924449449464,-0.04051443062432073,-0.029969359780680493,2.2034592754027287,0.017804924449449477,-0.027753338947168207,-0.03181267551346291,0.017678931737287185,1.7291308980513103,0.02775333894716825,-0.010338734621009149,-0.05473521911878075,0.036098459863261656,0.8686824052574877,0.010338734621009205,-0.040610165351604985,-0.0647173990428351,0.03726309921962101,1.9815440966181939,0.04061016535160489,-0.02278730734508093,-0.07141934293097084,0.07295417348608835,1.291896173261204,0.02278730734508083,-0.04409667292825173,-0.08496225777377198,0.12079452223798648,2.507615054628215,0.04409667292825181,-0.03135905236921559,-0.0018669113691738154,0.024186758515116757,2.884374028906654,0.031359052369215656,-0.0018355592981121327,-0.024616368286445013,0.0887354810431733,0.19659165221348474,0.0018355592981120772
